Location	level	pack_id	card_seq	RuleCategory	Tags	trigger	base	translate	wordcategory	sentence_with_gap	Sentence_Eng	outcome (SM/NM/AM/NONE)	Target_word	WhyEng	WhyCym	RuleCat	frame_id	qa_status (Draft / Generated / Checked / Fixed)
public/data/	Uwch		c000001	Adjective+Noun	Adjective+Noun	noun-fem	penodol	specific/particular	adj	Mae trefn [ ] ar gyfer rheoli diogelwch	There is a specific procedure for security management	SM	benodol	In Welsh, an adjective soft-mutates after a feminine singular noun. That is the pattern here, so penodol becomes benodol (p → b).	Yn Gymraeg, mae ansoddair yn treiglo’n feddal ar ôl enw benywaidd unigol. Dyna’r patrwm yma, felly penodol → benodol (p → b).			
public/data/			c000002	Adjective+Noun	Adjective+Noun	noun-fem	preswyl	residential	adj	Mae’r ardal [ ] hon yn dawel.	This residential area is quiet	SM	breswyl	In Welsh, an adjective soft-mutates after a feminine singular noun. That is the pattern here, so preswyl becomes breswyl (p → b).	Yn Gymraeg, mae ansoddair yn treiglo’n feddal ar ôl enw benywaidd unigol. Dyna’r patrwm yma, felly preswyl → breswyl (p → b).			
public/data/			c000003	Adjective+Noun	Adjective+Noun	noun-fem	mawr	big/large	adj	Sgorion nhw yn y gêm [ ].	They scored in the big game	SM	fawr	In Welsh, an adjective soft-mutates after a feminine singular noun. That is the pattern here, so mawr becomes fawr (m → f).	Yn Gymraeg, mae ansoddair yn treiglo’n feddal ar ôl enw benywaidd unigol. Dyna’r patrwm yma, felly mawr → fawr (m → f).			
public/data/			c000004	Article	Article|Noun-fem	y	cynulleidfa	audience	noun-fem	Roedd y [ ] yn frwdfrydig.	The audience was enthusiastic	SM	gynulleidfa	After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So cynulleidfa becomes gynulleidfa (c → g).	Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly cynulleidfa → gynulleidfa (c → g).			
public/data/	Uwch		c000005	Article	Article|Noun-fem	y	gwasg	press/publisher	noun-fem	Cyhoeddwyd y llyfr gan y [ ].	The book was published by the press	SM	wasg	After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So gwasg becomes wasg (g disappears).	Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly gwasg → wasg (g disappears).			
public/data/			c000006	Article	Article|Noun-fem	y	deddf	law/act	noun-fem	Pasiodd y [ ] yn 2020.	The law passed in 2020	SM	ddeddf	After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So deddf becomes ddeddf (d → dd).	Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly deddf → ddeddf (d → dd).			
public/data/			c000007	Article	Article|Noun-fem	y	masnach	trade	noun-fem	Mae’r [ ] ryngwladol yn tyfu.	The international market is growing	SM	fasnach	After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So masnach becomes fasnach (m → f).	Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly masnach → fasnach (m → f).			
public/data/			c000008	Article	Article|Noun-fem	y	senedd	senedd/parliament	noun-fem	Mae’r [ ] yn cyfarfod heddiw.	The Senedd is meeting today	NONE	senedd	This is a place where soft mutation can happen, but words starting with 's' do not change, so it stays senedd.	Dyma fan lle gall treiglad meddal ddigwydd, ond nid yw geiriau sy’n dechrau gyda 's' yn newid, felly mae’n aros yn senedd.			
public/data/			c000009	Article	Article|Noun-fem	y	amrywiaeth	variety	noun-fem	Mae’r [ ] o opsiynau yn eang.	The variety of options is wide	NONE	amrywiaeth	yr' is used before vowel sounds. This word begins with a vowel sound, so there is no mutation and it stays amrywiaeth.	Defnyddir 'yr' cyn llafariaid. Mae’r gair yn dechrau gyda llafariad, felly does dim treiglad ac mae’n aros yn amrywiaeth.			
public/data/	Uwch		c000010	Article	Article|Noun-fem	y	ymgyrch	campaign	noun-fem	Siaradwyd am yr [ ] newydd.	The new campaign was spoken about	NONE	ymgyrch	yr' is used before vowel sounds. This word begins with a vowel sound, so there is no mutation and it stays ymgyrch.	Defnyddir 'yr' cyn llafariaid. Mae’r gair yn dechrau gyda llafariad, felly does dim treiglad ac mae’n aros yn ymgyrch.			
public/data/			c000011	Article	Article|Noun-fem	y	gwefan	website	noun-fem	Darllenais i’r erthygl ar y [ ] swyddogol.	I read the article about the new official website	SM	wefan	After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So gwefan becomes wefan (g disappears).	Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly gwefan → wefan (g disappears).			
