CardId,Course,RuleId,RuleFamily,RuleCategory,Trigger,Base,Before,After,Answer,Outcome,TranslateSent,Why,WhyCym,Level,Dialect,PatternId,Focus,QaStatus,EvidenceRefs
gen-59b2199a1460,mynediad,none-bod-yn-verbnoun,none,Phrase,Dw i'n,darllen,Dw i'n ,.,darllen,none,I read.,"After **bod + yn**, a verbnoun stays in base form (no mutation).","Ar ôl **bod + yn**, mae berfenw'n aros yn y ffurf sylfaenol (dim treiglad).",mynediad,south,pat-u1-dw-in-verbnoun,contrast-none,pending,"[{""sourceId"":""mynediad-de-v2-2023"",""page"":13,""boxLabel"":""unit-1-pattern-box"",""note"":""Sentence patterns introduced in Unit 1.""},{""sourceId"":""mynediad-de-v2-2023"",""page"":12,""boxLabel"":""unit-1-vocab-box"",""note"":""Vocabulary box at start of unit.""}]"
gen-610017f6f7be,mynediad,none-misc-general,none,PlaceName,Dw i'n byw yn,Abertawe,Dw i'n byw yn ,.,Abertawe,none,I live in Swansea.,"In this starter frame, use the place name as listed in vocab; no mutation is being drilled here.","Yn y ffram gychwynnol hon, defnyddiwch enw'r lle fel yn y eirfa; nid yw treiglad yn cael ei ddrilio yma.",mynediad,south,pat-u1-dw-in-byw-yn-place,contrast-none,pending,"[{""sourceId"":""mynediad-de-v2-2023"",""page"":13,""boxLabel"":""unit-1-pattern-box"",""note"":""Sentence patterns introduced in Unit 1.""},{""sourceId"":""mynediad-de-v2-2023"",""page"":12,""boxLabel"":""unit-1-vocab-box"",""note"":""Vocabulary box at start of unit.""}]"
gen-824167d3e27a,mynediad,soft-bod-yn-adj,soft,Adjective,Dw i'n,ofnadwy,Dw i'n ,.,ofnadwy,soft,I am terrible.,"After **bod + yn**, adjectives take a **Soft Mutation** (e.g. *da -> dda*).","Ar ôl **bod + yn**, mae ansoddeiriau'n cymryd **Treiglad Meddal** (e.e. *da -> dda*).",mynediad,south,pat-u1-dw-in-adj,mutation,pending,"[{""sourceId"":""mynediad-de-v2-2023"",""page"":13,""boxLabel"":""unit-1-pattern-box"",""note"":""Sentence patterns introduced in Unit 1.""},{""sourceId"":""mynediad-de-v2-2023"",""page"":12,""boxLabel"":""unit-1-vocab-box"",""note"":""Vocabulary box at start of unit.""}]"
gen-825ac927d96d,mynediad,soft-bod-yn-adj,soft,Adjective,Dw i'n,wedi blino,Dw i'n ,.,wedi blino,soft,I am tired.,"After **bod + yn**, adjectives take a **Soft Mutation** (e.g. *da -> dda*).","Ar ôl **bod + yn**, mae ansoddeiriau'n cymryd **Treiglad Meddal** (e.e. *da -> dda*).",mynediad,south,pat-u1-dw-in-adj,mutation,pending,"[{""sourceId"":""mynediad-de-v2-2023"",""page"":13,""boxLabel"":""unit-1-pattern-box"",""note"":""Sentence patterns introduced in Unit 1.""},{""sourceId"":""mynediad-de-v2-2023"",""page"":12,""boxLabel"":""unit-1-vocab-box"",""note"":""Vocabulary box at start of unit.""}]"
gen-9510039964f4,mynediad,soft-bod-yn-adj,soft,Adjective,Dw i'n,pinc,Dw i'n ,.,binc,soft,I am pink.,"After **bod + yn**, adjectives take a **Soft Mutation** (e.g. *da -> dda*).","Ar ôl **bod + yn**, mae ansoddeiriau'n cymryd **Treiglad Meddal** (e.e. *da -> dda*).",mynediad,south,pat-u1-dw-in-adj,mutation,pending,"[{""sourceId"":""mynediad-de-v2-2023"",""page"":13,""boxLabel"":""unit-1-pattern-box"",""note"":""Sentence patterns introduced in Unit 1.""},{""sourceId"":""mynediad-de-v2-2023"",""page"":12,""boxLabel"":""unit-1-vocab-box"",""note"":""Vocabulary box at start of unit.""}]"
gen-9c15fe55832e,mynediad,none-bod-yn-verbnoun,none,Phrase,Dw i'n,byw,Dw i'n ,.,byw,none,I live.,"After **bod + yn**, a verbnoun stays in base form (no mutation).","Ar ôl **bod + yn**, mae berfenw'n aros yn y ffurf sylfaenol (dim treiglad).",mynediad,south,pat-u1-dw-in-verbnoun,contrast-none,pending,"[{""sourceId"":""mynediad-de-v2-2023"",""page"":13,""boxLabel"":""unit-1-pattern-box"",""note"":""Sentence patterns introduced in Unit 1.""},{""sourceId"":""mynediad-de-v2-2023"",""page"":12,""boxLabel"":""unit-1-vocab-box"",""note"":""Vocabulary box at start of unit.""}]"
gen-a3eba449e8bc,mynediad,none-bod-yn-verbnoun,none,Phrase,Dw i'n,stopio,Dw i'n ,.,stopio,none,I stop.,"After **bod + yn**, a verbnoun stays in base form (no mutation).","Ar ôl **bod + yn**, mae berfenw'n aros yn y ffurf sylfaenol (dim treiglad).",mynediad,south,pat-u1-dw-in-verbnoun,contrast-none,pending,"[{""sourceId"":""mynediad-de-v2-2023"",""page"":13,""boxLabel"":""unit-1-pattern-box"",""note"":""Sentence patterns introduced in Unit 1.""},{""sourceId"":""mynediad-de-v2-2023"",""page"":12,""boxLabel"":""unit-1-vocab-box"",""note"":""Vocabulary box at start of unit.""}]"
gen-a8bfb738d2f7,mynediad,soft-bod-yn-adj,soft,Adjective,Dw i'n,da,Dw i'n ,.,dda,soft,I am good.,"After **bod + yn**, adjectives take a **Soft Mutation** (e.g. *da -> dda*).","Ar ôl **bod + yn**, mae ansoddeiriau'n cymryd **Treiglad Meddal** (e.e. *da -> dda*).",mynediad,south,pat-u1-dw-in-adj,mutation,pending,"[{""sourceId"":""mynediad-de-v2-2023"",""page"":13,""boxLabel"":""unit-1-pattern-box"",""note"":""Sentence patterns introduced in Unit 1.""},{""sourceId"":""mynediad-de-v2-2023"",""page"":12,""boxLabel"":""unit-1-vocab-box"",""note"":""Vocabulary box at start of unit.""}]"
gen-b99c82c891b1,mynediad,none-bod-yn-verbnoun,none,Phrase,Dw i'n,gyrru,Dw i'n ,.,gyrru,none,I drive.,"After **bod + yn**, a verbnoun stays in base form (no mutation).","Ar ôl **bod + yn**, mae berfenw'n aros yn y ffurf sylfaenol (dim treiglad).",mynediad,south,pat-u1-dw-in-verbnoun,contrast-none,pending,"[{""sourceId"":""mynediad-de-v2-2023"",""page"":13,""boxLabel"":""unit-1-pattern-box"",""note"":""Sentence patterns introduced in Unit 1.""},{""sourceId"":""mynediad-de-v2-2023"",""page"":12,""boxLabel"":""unit-1-vocab-box"",""note"":""Vocabulary box at start of unit.""}]"
gen-e9b55d69765f,mynediad,none-bod-yn-verbnoun,none,Phrase,Dw i'n,gwylio,Dw i'n ,.,gwylio,none,I watch.,"After **bod + yn**, a verbnoun stays in base form (no mutation).","Ar ôl **bod + yn**, mae berfenw'n aros yn y ffurf sylfaenol (dim treiglad).",mynediad,south,pat-u1-dw-in-verbnoun,contrast-none,pending,"[{""sourceId"":""mynediad-de-v2-2023"",""page"":13,""boxLabel"":""unit-1-pattern-box"",""note"":""Sentence patterns introduced in Unit 1.""},{""sourceId"":""mynediad-de-v2-2023"",""page"":12,""boxLabel"":""unit-1-vocab-box"",""note"":""Vocabulary box at start of unit.""}]"
