pack_id	card_seq	base	translate	wordcategory	sentence_with_gap	Sentence_Eng	trigger	outcome (SM/NM/AM/NONE)	Target_word	WhyEng	WhyCym	RuleCat	frame_id	qa_status (Draft / Generated / Checked / Fixed)
myn-de-p01-places	M-D-00001	Bangor	Bangor	Place name	Dw i'n dod o [ ]	I come from Bangor	o	SM	Fangor	"The preposition ""o"" or ""from"" normally causes a soft mutation on the Welsh place name that follows it. Soft mutation only affects certain initial letters. In Welsh, these changes are: C ? G, P ? B, T ? D, B ? F, D ? DD, G ? disappears, LL ? L, RH ? R, and M ? F."	"Mae’r arddodiad “o” fel arfer yn achosi treiglad meddal ar enw lle Cymraeg sy’n ei ddilyn. Dim ond rhai llythrennau sy’n cael eu heffeithio gan y treiglad meddal. Dyma’r newidiadau: C ? G, P ? B, T ? D, B ? F, D ? DD, G ? diflannu, LL ? L, RH ? R, ac M ? F."		myn-de-u01-f013	Draft
myn-de-p01-places	M-D-00002	Bangor	Bangor	Place name	Dw i'n dod o [ ] yn wreiddiol	I come from Bangor originally	o	SM	Fangor	"The preposition ""o"" or ""from"" normally causes a soft mutation on the Welsh place name that follows it. Soft mutation only affects certain initial letters. In Welsh, these changes are: C ? G, P ? B, T ? D, B ? F, D ? DD, G ? disappears, LL ? L, RH ? R, and M ? F."	"Mae’r arddodiad “o” fel arfer yn achosi treiglad meddal ar enw lle Cymraeg sy’n ei ddilyn. Dim ond rhai llythrennau sy’n cael eu heffeithio gan y treiglad meddal. Dyma’r newidiadau: C ? G, P ? B, T ? D, B ? F, D ? DD, G ? diflannu, LL ? L, RH ? R, ac M ? F."		myn-de-u01-f013	Draft
myn-de-p01-places	M-D-00003	Bangor	Bangor	Place name	Dw i'n byw ym [ ]	I live in Bangor	ym	NM	Mangor	"The preposition “yn” (“in”) normally causes a nasal mutation on the word that follows it. With nasal mutation, C becomes NGH, P becomes MH, T becomes NH, B becomes M, D becomes N, and G becomes NG."	"Mae’r arddodiad “yn” (“in”) fel arfer yn achosi treiglad trwynol ar y gair sy’n ei ddilyn. Gyda’r treiglad trwynol, mae C yn mynd yn NGH, P yn MH, T yn NH, B yn M, D yn N, a G yn NG."		myn-de-u01-f019	Draft
myn-de-p01-places	M-D-00004	Bangor	Bangor	Place name	Dw i'n mynd i [ ]	I am going to Bangor	i	SM	Fangor	"The preposition “i” (“to”) normally causes a soft mutation on the Welsh place name that follows it. Soft mutation only affects certain initial letters. These changes are: C ? G, P ? B, T ? D, B ? F, D ? DD, G ? disappears, LL ? L, RH ? R, and M ? F."	"Mae’r arddodiad “i” fel arfer yn achosi treiglad meddal ar enw lle Cymraeg sy’n ei ddilyn. Dim ond rhai llythrennau sy’n cael eu heffeithio gan y treiglad meddal. Dyma’r newidiadau: C ? G, P ? B, T ? D, B ? F, D ? DD, G ? diflannu, LL ? L, RH ? R, ac M ? F. "		myn-de-u01-f016	Draft
myn-de-p01-places	M-D-00005	Caerdydd	Cardiff	Place name	Dw i'n dod o [ ]	I come from Cardiff	o	SM	Gaerdydd	"The preposition ""o"" or ""from"" normally causes a soft mutation on the Welsh place name that follows it. Soft mutation only affects certain initial letters. In Welsh, these changes are: C ? G, P ? B, T ? D, B ? F, D ? DD, G ? disappears, LL ? L, RH ? R, and M ? F."	"Mae’r arddodiad “o” fel arfer yn achosi treiglad meddal ar enw lle Cymraeg sy’n ei ddilyn. Dim ond rhai llythrennau sy’n cael eu heffeithio gan y treiglad meddal. Dyma’r newidiadau: C ? G, P ? B, T ? D, B ? F, D ? DD, G ? diflannu, LL ? L, RH ? R, ac M ? F."		myn-de-u01-f013	Draft
myn-de-p01-places	M-D-00006	Caerdydd	Cardiff	Place name	Dw i'n dod o [ ] yn wreiddiol	I come from Cardiff originally	o	SM	Gaerdydd	"The preposition ""o"" or ""from"" normally causes a soft mutation on the Welsh place name that follows it. Soft mutation only affects certain initial letters. In Welsh, these changes are: C ? G, P ? B, T ? D, B ? F, D ? DD, G ? disappears, LL ? L, RH ? R, and M ? F."	"Mae’r arddodiad “o” fel arfer yn achosi treiglad meddal ar enw lle Cymraeg sy’n ei ddilyn. Dim ond rhai llythrennau sy’n cael eu heffeithio gan y treiglad meddal. Dyma’r newidiadau: C ? G, P ? B, T ? D, B ? F, D ? DD, G ? diflannu, LL ? L, RH ? R, ac M ? F."		myn-de-u01-f013	Draft
myn-de-p01-places	M-D-00007	Caerdydd	Cardiff	Place name	Dwi'n byw yng [ ]	I live in Cardiff	yng	NM	Nghaerdydd	"The preposition “yn” (“in”) normally causes a nasal mutation on the word that follows it. With nasal mutation, C becomes NGH, P becomes MH, T becomes NH, B becomes M, D becomes N, and G becomes NG."	"Mae’r arddodiad “yn” (“in”) fel arfer yn achosi treiglad trwynol ar y gair sy’n ei ddilyn. Gyda’r treiglad trwynol, mae C yn mynd yn NGH, P yn MH, T yn NH, B yn M, D yn N, a G yn NG."		myn-de-u01-f018	Draft
myn-de-p01-places	M-D-00008	Caerdydd	Cardiff	Place name	Dwi'n mynd i [ ]	I am going to Cardiff	i	SM	Gaerdydd	"The preposition “i” (“to”) normally causes a soft mutation on the Welsh place name that follows it. Soft mutation only affects certain initial letters. These changes are: C ? G, P ? B, T ? D, B ? F, D ? DD, G ? disappears, LL ? L, RH ? R, and M ? F."	"Mae’r arddodiad “i” fel arfer yn achosi treiglad meddal ar enw lle Cymraeg sy’n ei ddilyn. Dim ond rhai llythrennau sy’n cael eu heffeithio gan y treiglad meddal. Dyma’r newidiadau: C ? G, P ? B, T ? D, B ? F, D ? DD, G ? diflannu, LL ? L, RH ? R, ac M ? F. "		myn-de-u01-f016	Draft
myn-de-p01-places	M-D-00009	Casnewydd	Newport	Place name	Dw i'n dod o [ ]	I come from Newport	o	SM	Gasnewydd	"The preposition ""o"" or ""from"" normally causes a soft mutation on the Welsh place name that follows it. Soft mutation only affects certain initial letters. In Welsh, these changes are: C ? G, P ? B, T ? D, B ? F, D ? DD, G ? disappears, LL ? L, RH ? R, and M ? F."	"Mae’r arddodiad “o” fel arfer yn achosi treiglad meddal ar enw lle Cymraeg sy’n ei ddilyn. Dim ond rhai llythrennau sy’n cael eu heffeithio gan y treiglad meddal. Dyma’r newidiadau: C ? G, P ? B, T ? D, B ? F, D ? DD, G ? diflannu, LL ? L, RH ? R, ac M ? F."		myn-de-u01-f013	Draft
myn-de-p01-places	M-D-00010	Casnewydd	Newport	Place name	Dw i'n dod o [ ] yn wreiddiol	I come from Newport originally	o	SM	Gasnewydd	"The preposition ""o"" or ""from"" normally causes a soft mutation on the Welsh place name that follows it. Soft mutation only affects certain initial letters. In Welsh, these changes are: C ? G, P ? B, T ? D, B ? F, D ? DD, G ? disappears, LL ? L, RH ? R, and M ? F."	"Mae’r arddodiad “o” fel arfer yn achosi treiglad meddal ar enw lle Cymraeg sy’n ei ddilyn. Dim ond rhai llythrennau sy’n cael eu heffeithio gan y treiglad meddal. Dyma’r newidiadau: C ? G, P ? B, T ? D, B ? F, D ? DD, G ? diflannu, LL ? L, RH ? R, ac M ? F."		myn-de-u01-f013	Draft
