CardId,Unit,RuleId,Trigger,Base,Before,After,Answer,Outcome,Translate,Category,Gender
"m-row-2000","1","fem-adj-soft","Noswaith","da","Noswaith ","","dda","soft","Good evening","Phrase",""
"m-row-2001","1","none-gen","Bore","da","Bore ","","da","none","Good morning","Phrase",""
"m-row-2002","1","none-gen","Prynhawn","da","Prynhawn ","","da","none","Good afternoon","Phrase",""
"m-row-2003","1","none-gen","Sut","dych chi","Sut ","","dych chi","none","How are you?","Phrase",""
"m-row-2004","1","none-gen","Da","iawn","Da ","","iawn","none","Very good","Phrase",""
"m-row-2005","1","none-gen","","Diolch","","","Diolch","none","Thank you","Phrase",""
"m-row-2006","1","none-gen","","Hwyl","","","Hwyl","none","Bye","Phrase",""
"m-row-2007","1","fem-adj-soft","Hwyl","fawr","Hwyl ","","fawr","soft","Goodbye (Big fun)","Phrase",""
"m-row-2008","1","none-gen","","Croeso","","","Croeso","none","Welcome","Phrase",""
"m-row-2009","1","none-gen","Nos","da","Nos ","","da","none","Good night","Phrase",""
"m-row-2010","1","none-gen","Pwy","dych chi","Pwy ","","dych chi","none","Who are you?","Phrase",""
"m-row-2011","2","soft-art-fem","Y","merch","Y ","","ferch","soft","The girl","Noun","f"
"m-row-2012","2","soft-art-fem","Y","cegin","Y ","","gegin","soft","The kitchen","Noun","f"
"m-row-2013","2","soft-art-fem","Y","cath","Y ","","gath","soft","The cat","Noun","f"
"m-row-2014","2","soft-art-fem","Y","pont","Y ","","bont","soft","The bridge","Noun","f"
"m-row-2015","2","soft-art-fem","Yr","gardd","Yr ","","ardd","soft","The garden","Noun","f"
"m-row-2016","2","none-art-masc","Y","bachgen","Y ","","bachgen","none","The boy","Noun","m"
"m-row-2017","2","none-art-masc","Y","bwrdd","Y ","","bwrdd","none","The table","Noun","m"
"m-row-2018","2","none-art-masc","Yr","afal","Yr ","","afal","none","The apple","Noun","m"
"m-row-2019","2","soft-art-fem","Yr","ynys","Yr ","","ynys","none","The island","Noun","f"
"m-row-2020","3","no-mut-eisiau","Dw i eisiau","coffi","Dw i eisiau ","","coffi","none","I want coffee","Noun","m"
"m-row-2021","3","no-mut-eisiau","Dw i eisiau","te","Dw i eisiau ","","te","none","I want tea","Noun","m"
